pcode_district,provisional_licences_male,provisional_licences_female,provisional_total,full_licences_male,full_licences_female,full_total,file_date
AA78,0,0,0,0,1,1,2019-08-01
AB01,74,78,152,202,137,339,2019-08-01
AB02,24,33,57,106,59,165,2019-08-01
AB03,7,9,16,36,41,77,2019-08-01
AB04,3,4,7,28,24,52,2019-08-01
AB05,1,4,5,17,20,37,2019-08-01
AB09,30,18,48,68,11,79,2019-08-01
AB10,1513,1536,3049,7416,6079,13495,2019-08-01
AB11,1891,1976,3867,6371,4315,10686,2019-08-01
AB12,1184,1566,2750,10548,9427,19975,2019-08-01
AB13,103,117,220,1426,1403,2829,2019-08-01
AB14,215,262,477,1931,1796,3727,2019-08-01
AB15,1449,1830,3279,15599,14712,30311,2019-08-01
AB16,2242,2937,5179,8362,6363,14725,2019-08-01
AB18,0,0,0,0,1,1,2019-08-01
AB21,908,1106,2014,9256,8209,17465,2019-08-01
AB22,591,765,1356,6265,5715,11980,2019-08-01
AB23,421,466,887,4763,4353,9116,2019-08-01
AB24,3102,3127,6229,9339,5885,15224,2019-08-01
AB25,1513,1400,2913,5121,3696,8817,2019-08-01
AB28,0,0,0,1,0,1,2019-08-01
AB29,0,1,1,0,0,0,2019-08-01
AB30,199,249,448,3019,2755,5774,2019-08-01
AB31,481,500,981,6456,6175,12631,2019-08-01
AB32,450,526,976,5656,5454,11110,2019-08-01
AB33,121,170,291,2358,2114,4472,2019-08-01
AB34,166,199,365,2218,2136,4354,2019-08-01
AB35,97,116,213,1002,903,1905,2019-08-01
AB36,19,19,38,234,214,448,2019-08-01
AB37,38,48,86,535,464,999,2019-08-01
AB38,125,176,301,1733,1547,3280,2019-08-01
AB39,670,742,1412,6848,6478,13326,2019-08-01
AB41,578,815,1393,8552,8039,16591,2019-08-01
AB42,1510,1783,3293,12499,10973,23472,2019-08-01
AB43,1030,1240,2270,8298,7317,15615,2019-08-01
AB44,190,236,426,1355,1192,2547,2019-08-01
AB45,429,501,930,4090,3676,7766,2019-08-01
AB51,977,1236,2213,14075,13218,27293,2019-08-01
AB52,123,159,282,2118,1930,4048,2019-08-01
AB53,323,422,745,4830,4270,9100,2019-08-01
AB54,393,509,902,4287,3800,8087,2019-08-01
AB55,270,429,699,3434,2957,6391,2019-08-01
AB56,650,726,1376,5142,4704,9846,2019-08-01
AL01,1993,2161,4154,14197,12676,26873,2019-08-01
AL02,889,1073,1962,9664,9108,18772,2019-08-01
AL03,1197,1357,2554,11070,10678,21748,2019-08-01
AL04,985,1182,2167,10763,10550,21313,2019-08-01
AL05,1125,1225,2350,12302,12095,24397,2019-08-01
AL06,352,383,735,5190,5079,10269,2019-08-01
AL07,2064,2422,4486,12277,11126,23403,2019-08-01
AL08,561,690,1251,5056,4865,9921,2019-08-01
AL09,422,486,908,4907,4577,9484,2019-08-01
AL10,3496,3012,6508,11545,8094,19639,2019-08-01
B00,2,0,2,0,0,0,2019-08-01
